n_rows,n_cols,n_mdp_states,n_mdp_transitions,|semi-aut.nodes|,mdp_build_time,time_solve(strong order),time_solve(weak order),time_solve(weak* order)
3,3,36,268,8,0.015377044677734375,0.001333475112915039,0.001821756362915039,0.0013437271118164062
3,4,25,203,8,0.012112140655517578,0.0011086463928222656,0.0014452934265136719,0.000993967056274414
3,5,60,496,8,0.026396989822387695,0.0025663375854492188,0.002195596694946289,0.0019674301147460938
3,6,72,620,8,0.03610873222351074,0.0019214153289794922,0.003206968307495117,0.0017766952514648438
3,7,43,377,8,0.021562576293945312,0.0012173652648925781,0.001522064208984375,0.0013718605041503906
3,8,96,848,8,0.11248517036437988,0.001905202865600586,0.0024116039276123047,0.002113819122314453
3,9,108,960,8,0.04807877540588379,0.0023040771484375,0.008553266525268555,0.0020542144775390625
4,3,48,380,8,0.02112269401550293,0.0016944408416748047,0.002207517623901367,0.001819610595703125
4,4,64,544,8,0.030895233154296875,0.0016455650329589844,0.001867055892944336,0.0015799999237060547
4,5,80,700,8,0.0381169319152832,0.0024518966674804688,0.0026044845581054688,0.002715587615966797
4,6,96,860,8,0.04337930679321289,0.002882242202758789,0.003128528594970703,0.003549814224243164
4,7,112,1028,8,0.05083727836608887,0.0024390220642089844,0.002912759780883789,0.0022802352905273438
4,8,128,1184,8,0.057687997817993164,0.002573251724243164,0.0031583309173583984,0.0025129318237304688
4,9,144,1344,8,0.06566071510314941,0.0028905868530273438,0.003536701202392578,0.0030617713928222656
5,3,60,496,8,0.024985313415527344,0.0021941661834716797,0.003199338912963867,0.0030028820037841797
5,4,41,361,8,0.02167797088623047,0.002335786819458008,0.0018093585968017578,0.0017981529235839844
5,5,100,900,8,0.05074763298034668,0.0026667118072509766,0.003903627395629883,0.004422187805175781
5,6,120,1108,8,0.06845259666442871,0.009440183639526367,0.0037047863006591797,0.005425930023193359
5,7,140,1312,8,0.06735062599182129,0.003294229507446289,0.0035462379455566406,0.0034956932067871094
5,8,160,1524,8,0.0746457576751709,0.0044710636138916016,0.006413936614990234,0.0048177242279052734
5,9,91,871,8,0.055816650390625,0.001978635787963867,0.002226114273071289,0.0017695426940917969
6,3,72,612,8,0.033538103103637695,0.0017290115356445312,0.0025565624237060547,0.0019102096557617188
6,4,96,864,8,0.048189401626586914,0.0023682117462158203,0.0032682418823242188,0.002672433853149414
6,5,120,1108,8,0.05900073051452637,0.003719329833984375,0.0031735897064208984,0.0024802684783935547
6,6,144,1356,8,0.10290956497192383,0.00474858283996582,0.0041561126708984375,0.0036046504974365234
6,7,168,1612,8,0.08426237106323242,0.004435300827026367,0.004576444625854492,0.004180192947387695
6,8,192,1852,8,0.09393644332885742,0.005052804946899414,0.014966249465942383,0.005240440368652344
6,9,216,2108,8,0.11672401428222656,0.009769916534423828,0.008281946182250977,0.0072727203369140625
7,3,84,732,8,0.0396275520324707,0.0019087791442871094,0.0025391578674316406,0.002230405807495117
7,4,112,1020,8,0.07075119018554688,0.0028426647186279297,0.003052949905395508,0.0021469593048095703
7,5,140,1308,8,0.062267303466796875,0.002611875534057617,0.00323486328125,0.002412080764770508
7,6,168,1600,8,0.0743403434753418,0.003058195114135742,0.004113912582397461,0.0037910938262939453
7,7,196,1900,8,0.09043264389038086,0.006212949752807617,0.0056989192962646484,0.006505727767944336
7,8,224,2184,8,0.09975576400756836,0.008175134658813477,0.020658016204833984,0.004770040512084961
7,9,252,2476,8,0.1171867847442627,0.007474184036254883,0.0279080867767334,0.007539272308349609
8,3,96,852,8,0.04262351989746094,0.0022139549255371094,0.0024285316467285156,0.0025682449340820312
8,4,65,601,8,0.030117034912109375,0.0017609596252441406,0.002596616744995117,0.0016405582427978516
8,5,160,1516,8,0.07589006423950195,0.0069887638092041016,0.00521397590637207,0.004198789596557617
8,6,192,1852,8,0.10323905944824219,0.008030176162719727,0.12318968772888184,0.004956960678100586
8,7,224,2192,8,0.1255497932434082,0.00616765022277832,0.007859468460083008,0.003869771957397461
8,8,256,2524,8,0.1184086799621582,0.02007150650024414,0.01844191551208496,0.005115509033203125
8,9,288,2856,8,0.12933039665222168,0.009894132614135742,0.011701345443725586,0.013000249862670898
9,3,108,964,8,0.04876828193664551,0.0024530887603759766,0.003236532211303711,0.0032837390899658203
9,4,144,1340,8,0.06488752365112305,0.0031213760375976562,0.0037903785705566406,0.002912759780883789
9,5,180,1720,8,0.08619141578674316,0.004669189453125,0.006258726119995117,0.004811763763427734
9,6,216,2096,8,0.10780954360961914,0.006514072418212891,0.06313824653625488,0.005418539047241211
9,7,252,2476,8,0.12171387672424316,0.008171558380126953,0.020952224731445312,0.026012897491455078
9,8,288,2856,8,0.15064358711242676,0.08283758163452148,0.02939438819885254,0.007767915725708008
9,9,324,3240,8,0.1517503261566162,0.013592958450317383,0.028648853302001953,0.008230447769165039
